ano,cnae_divisao,emprego_nacional
2016,58,79096
2016,59,29391
2016,60,90268
2016,61,188510
2016,62,337795
2016,63,107259
2016,64,626274
2016,65,154126
2016,66,98600
2016,68,141884
2016,69,446647
2016,70,98816
2016,71,224510
2016,72,43001
2016,73,93773
2016,74,83180
2016,75,10822
2016,77,206042
2016,78,458172
2016,79,66740
2016,80,627408
2016,81,1539229
2016,82,1286438
2016,84,8874302
2016,85,2000726
2016,86,1982135
2016,87,117841
2016,88,140246
2016,90,17143
2016,91,6290
2016,92,1109
2016,93,228591
2016,94,822971
2016,95,106493
2016,96,218726
2016,97,3670
2016,99,5650
2017,01,1388934
2017,02,98234
2017,03,19077
2017,05,3825
2017,06,24830
2017,07,80732
2017,08,80393
2017,09,22557
2017,10,1526746
2017,11,118971
2017,12,9451
2017,13,257186
2017,14,568852
2017,15,330657
2017,16,161144
2017,17,170083
2017,18,101266
2017,19,135947
2017,20,269937
2017,21,102168
2017,22,404668
2017,23,365606
2017,24,198844
2017,25,400057
2017,26,121018
2017,27,175778
2017,28,319374
2017,29,400137
2017,30,70948
2017,31,231934
2017,32,141290
2017,33,170820
2017,35,125291
2017,36,130935
2017,37,12341
2017,38,187542
2017,39,1889
2017,41,794587
2017,42,561655
2017,43,605549
2017,45,928242
2017,46,1607103
2017,47,6622869
2017,49,1632306
2017,50,43046
2017,51,63017
2017,52,408377
2017,53,166699
2017,55,334461
2017,56,1556302
2017,58,73832
2017,59,28433
2017,60,87991
2017,61,194355
2017,62,337999
2017,63,93190
2017,64,614691
2017,65,151539
2017,66,103538
2017,68,142827
2017,69,448801
2017,70,103562
2017,71,228867
2017,72,41405
2017,73,97717
2017,74,88279
2017,75,12459
2017,77,208744
2017,78,490834
2017,79,67328
2017,80,586640
2017,81,1527491
2017,82,1340385
2017,84,9246628
2017,85,2037555
2017,86,2028802
2017,87,123431
2017,88,141953
2017,90,15718
2017,91,6016
2017,92,1076
2017,93,231207
2017,94,805982
2017,95,102943
2017,96,208750
2017,97,3318
2017,99,3629
2018,01,1379099
2018,02,99019
2018,03,19796
2018,05,3813
2018,06,23061
2018,07,81951
2018,08,79577
2018,09,24227
2018,10,1522603
2018,11,119014
2018,12,9464
2018,13,252055
2018,14,541612
2018,15,325437
2018,16,160763
2018,17,172129
2018,18,99474
2018,19,139407
2018,20,270420
2018,21,101710
2018,22,404442
2018,23,357893
2018,24,205345
2018,25,399519
2018,26,118461
2018,27,171753
2018,28,330507
2018,29,417429
2018,30,65609
2018,31,232230
2018,32,145172
2018,33,179049
2018,35,125897
2018,36,132172
2018,37,12989
2018,38,197352
2018,39,1699
2018,41,778710
2018,42,575217
2018,43,623255
2018,45,930124
2018,46,1623132
2018,47,6597513
2018,49,1656783
2018,50,42710
2018,51,61839
2018,52,416305
2018,53,160346
2018,55,337296
2018,56,1583034
2018,58,65594
2018,59,27811
2018,60,86304
2018,61,196352
2018,62,369782
2018,63,91979
2018,64,610867
2018,65,162398
2018,66,115236
2018,68,150607
2018,69,458223
2018,70,102870
2018,71,241710
2018,72,42660
2018,73,108510
2018,74,100693
2018,75,14655
2018,77,199540
2018,78,532145
2018,79,67431
2018,80,606555
2018,81,1592103
2018,82,1412136
2018,84,9128919
2018,85,2105299
2018,86,2105784
2018,87,123322
2018,88,149809
2018,90,16754
2018,91,9347
2018,92,984
2018,93,237795
2018,94,783091
2018,95,93244
2018,96,206417
2018,97,2565
2018,99,3211
2019,01,1354522
2019,02,100788
2019,03,18485
2019,05,3513
2019,06,24493
2019,07,88852
2019,08,79325
2019,09,26077
2019,10,1577662
2019,11,119998
2019,12,8674
2019,13,247479
2019,14,531207
2019,15,315943
2019,16,153945
2019,17,171481
2019,18,94801
2019,19,145585
2019,20,267415
2019,21,105027
2019,22,398891
2019,23,352876
2019,24,201667
2019,25,405783
2019,26,112416
2019,27,184173
2019,28,328865
2019,29,417378
2019,30,61272
2019,31,227742
2019,32,149845
2019,33,193689
2019,35,129784
