id_municipio,cnae_divisao,S_xi
1200401,99,1.3377212079542673e-5
1501402,00,0.059394719452716245
1501402,01,0.003016857150554066
1501402,02,2.9717793191653865e-4
1501402,03,0.003993885543089108
1501402,05,3.496959803163324e-5
1501402,06,9.359634387002801e-5
1501402,07,1.2221525834033064e-4
1501402,08,1.0279279268948607e-4
1501402,09,3.4864391503298466e-5
1501402,10,0.010773398967524809
1501402,11,0.005275761296840462
1501402,12,2.728206659574797e-4
1501402,13,0.0017864501956712517
1501402,14,0.0016046569562049333
1501402,15,7.907661746365095e-4
1501402,16,0.01055070448801455
1501402,17,0.0020186940584641204
1501402,18,0.0010637129063395436
1501402,19,7.212355634752909e-4
1501402,20,0.0017956010752403486
1501402,21,1.8967008488337856e-4
1501402,22,6.530793202478765e-4
1501402,23,0.001206485951295656
1501402,24,0.00154205992919587
1501402,25,8.492882629388375e-4
1501402,26,1.0971620819765244e-4
1501402,27,1.9155798578656378e-4
1501402,28,2.0214580079869698e-4
1501402,29,1.1803994864637544e-4
1501402,30,0.0011214423714008877
1501402,31,4.5979746612375e-4
1501402,32,3.9451643073975227e-4
1501402,33,0.0013156851704480615
1501402,35,0.005198915051034858
1501402,36,8.023990399192405e-4
1501402,37,0.003271356245802033
1501402,38,0.0016131972772015462
1501402,41,0.02717073115940506
1501402,42,0.009958755006303386
1501402,43,0.0061526418774618015
1501402,45,0.01261500946134014
1501402,46,0.02330505168908481
1501402,47,0.14005206023615677
1501402,49,0.022024006697531243
1501402,50,0.006300548504044837
1501402,51,0.0013324111847453249
1501402,52,0.004185078621843972
1501402,53,0.0050388882672154555
1501402,55,0.007119847655429426
1501402,56,0.018715743381043492
1501402,58,0.002983643684332566
1501402,59,4.3503170267878246e-4
1501402,60,0.0028021778158035656
1501402,61,0.003913883839483065
1501402,62,0.002368563060944399
1501402,63,0.0022172864815462544
1501402,64,0.0154665369293864
1501402,65,0.0019007767736134856
1501402,66,0.0020834184949213644
1501402,68,0.0015642454726478155
1501402,69,0.004572002917157042
1501402,70,9.17913386682519e-4
1501402,71,0.0036441859938214144
1501402,72,0.0070499367139831804
1501402,73,0.0016283938446120766
1501402,74,0.0012694016231119543
1501402,75,1.1317670544571706e-4
1501402,77,0.002598374983932735
1501402,78,0.005982409312497109
1501402,79,0.0015157206462537655
1501402,80,0.02845639140418263
1501402,81,0.03560641943994982
1501402,82,0.00971657595568166
1501402,84,0.3357837703997527
1501402,85,0.047413120685612126
1501402,86,0.03267834959651439
1501402,87,5.8644059123964306e-5
1501402,88,0.0013491374265251984
1501402,90,3.989417055863643e-4
1501402,91,1.1697785748105268e-5
1501402,92,1.1849128191150346e-4
1501402,93,0.005766835591175871
1501402,94,0.02419476265203792
1501402,95,0.0021404691588363433
1501402,96,0.00416201462812057
1501402,97,1.386559274586316e-4
1501402,99,3.5291354257415555e-5
2111300,00,0.013900703645608999
2111300,01,0.0016716193974852516
2111300,02,7.895675660734543e-5
2111300,03,6.476894723699266e-5
2111300,06,4.24937003089292e-6
2111300,07,8.947543114785653e-5
2111300,08,2.775224458462063e-4
2111300,09,1.0775898201781229e-4
2111300,10,0.0039905840356943036
2111300,11,0.004530730649040039
2111300,13,7.760780799568394e-4
2111300,14,0.0014173318114260184
2111300,15,2.6221495347798893e-5
2111300,16,7.386282497001285e-4
2111300,17,0.0010664865326735738
2111300,18,0.0025340345526678526
2111300,19,4.254986509600918e-4
2111300,20,0.002101101973024501
2111300,21,1.3221226339448492e-4
2111300,22,0.00114142952202034
2111300,23,0.002221019887056753
2111300,24,0.00840317918088404
2111300,25,0.005121286820448348
2111300,26,8.661309773658428e-5
2111300,27,3.58393034684804e-5
2111300,28,0.005625443735505046
2111300,29,3.1507160779425426e-4
2111300,30,1.287162150331583e-4
2111300,31,0.0011256611990186022
2111300,32,2.050766401402357e-4
2111300,33,0.0016580924423248713
2111300,35,0.003804662671738307
2111300,36,0.005290583333221963
2111300,37,9.576992658778866e-5
2111300,38,0.003469740789905249
2111300,41,0.036159226101411535
2111300,42,0.044781955744416194
2111300,43,0.011517029850482821
2111300,45,0.01924241213394159
2111300,46,0.02239527720161093
2111300,47,0.11548482766178149
2111300,49,0.041376113229877075
2111300,50,0.002052454143646455
2111300,51,8.405538275432096e-4
2111300,52,0.006047731373340796
2111300,53,0.004444900643818302
2111300,55,0.006512439844103203
2111300,56,0.019735500227135962
2111300,58,0.0011422329430793863
2111300,59,5.730144515838857e-4
2111300,60,0.002029407024358807
2111300,61,0.0022185785576379936
2111300,62,0.0011101922129645376
2111300,63,8.660680236392001e-4
2111300,64,0.010834725564671533
2111300,65,0.001795433199916078
2111300,66,0.0013186393060854945
2111300,68,0.0012242182186945425
2111300,69,0.0032411642586673566
2111300,70,0.0011536594567478438
2111300,71,0.004245149047416111
2111300,72,2.5452146097203985e-5
2111300,73,8.789494470754104e-4
2111300,74,0.001151010915536094
2111300,75,5.744238235570093e-5
2111300,77,0.003241593928029586
2111300,78,0.012147494182001095
2111300,79,0.001439625699200357
2111300,80,0.028006116500249895
2111300,81,0.029633995309415843
2111300,82,0.012126694403516049
2111300,84,0.3654154610733232
2111300,85,0.029609969218780167
2111300,86,0.03173515610648806
2111300,87,3.0752854729193643e-4
