ano,id_municipio,cnae_divisao,vinculos_ativos
2014,4106902,12,237
2014,4106902,13,1258
2014,4106902,14,1980
2014,4106902,15,801
2014,4106902,16,1849
2014,4106902,17,2671
2014,4106902,18,2565
2014,4106902,19,105
2014,4106902,20,3072
2014,4106902,21,95
2014,4106902,22,3521
2014,4106902,23,2474
2014,4106902,24,2855
2014,4106902,25,6518
2014,4106902,26,5598
2014,4106902,27,8322
2014,4106902,28,8678
2014,4106902,29,12807
2014,4106902,30,49
2014,4106902,31,2285
2014,4106902,32,2780
2014,4106902,33,3097
2014,4106902,35,8433
2014,4106902,36,7396
2014,4106902,37,176
2014,4106902,38,3836
2014,4106902,39,75
2014,4106902,41,20015
2014,4106902,42,19288
2014,4106902,43,15951
2014,4106902,45,20903
2014,4106902,46,25003
2014,4106902,47,115435
2014,4106902,49,29518
2014,4106902,50,1
2014,4106902,51,399
2014,4106902,52,6797
2014,4106902,53,4896
2014,4106902,55,4572
2014,4106902,56,35890
2014,4106902,58,5118
2014,4106902,59,758
2014,4106902,60,1719
2014,4106902,61,10477
2014,4106902,62,9705
2014,4106902,63,3249
2014,4106902,64,20839
2014,4106902,65,4671
2014,4106902,66,1770
2014,4106902,68,4260
2014,4106902,69,11287
2014,4106902,70,4538
2014,4106902,71,7067
2014,4106902,72,750
2014,4106902,73,2232
2014,4106902,74,1139
2014,4106902,75,197
2014,4106902,77,5261
2014,4106902,78,21259
2014,4106902,79,2200
2014,4106902,80,22651
2014,4106902,81,39985
2014,4106902,82,33503
2014,4106902,84,200342
2014,4106902,85,47245
2014,4106902,86,41055
2014,4106902,87,1251
2014,4106902,88,3604
2014,4106902,90,420
2014,4106902,91,518
2014,4106902,92,23
2014,4106902,93,5280
2014,4106902,94,16917
2014,4106902,95,2090
2014,4106902,96,3023
2014,4106902,97,73
2014,4106902,99,17
2015,4106902,01,809
2015,4106902,02,438
2015,4106902,03,3
2015,4106902,05,1
2015,4106902,07,48
2015,4106902,08,104
2015,4106902,09,27
2015,4106902,10,10742
2015,4106902,11,1305
2015,4106902,13,1128
2015,4106902,14,1888
2015,4106902,15,711
2015,4106902,16,1596
2015,4106902,17,2247
2015,4106902,18,2279
2015,4106902,19,100
2015,4106902,20,2473
2015,4106902,21,92
2015,4106902,22,3386
2015,4106902,23,2222
2015,4106902,24,2307
2015,4106902,25,5850
2015,4106902,26,4665
2015,4106902,27,6463
2015,4106902,28,7750
2015,4106902,29,11576
2015,4106902,30,64
2015,4106902,31,1997
2015,4106902,32,2612
2015,4106902,33,3399
2015,4106902,35,8464
2015,4106902,36,7444
2015,4106902,37,238
2015,4106902,38,3572
2015,4106902,39,71
2015,4106902,41,16927
2015,4106902,42,16248
2015,4106902,43,13929
2015,4106902,45,19404
2015,4106902,46,24157
2015,4106902,47,111746
2015,4106902,49,28578
2015,4106902,50,2
2015,4106902,51,447
2015,4106902,52,5890
2015,4106902,53,4601
2015,4106902,55,4565
2015,4106902,56,34851
2015,4106902,58,4598
2015,4106902,59,633
2015,4106902,60,1812
2015,4106902,61,10449
2015,4106902,62,9606
2015,4106902,63,3226
2015,4106902,64,21167
2015,4106902,65,4662
2015,4106902,66,1951
2015,4106902,68,4256
2015,4106902,69,11379
2015,4106902,70,3914
2015,4106902,71,6103
2015,4106902,72,767
2015,4106902,73,2417
2015,4106902,74,1219
2015,4106902,75,210
2015,4106902,77,4804
2015,4106902,78,19875
2015,4106902,79,1949
2015,4106902,80,22275
2015,4106902,81,39991
2015,4106902,82,33564
2015,4106902,84,200797
2015,4106902,85,45695
2015,4106902,86,42367
2015,4106902,87,1435
2015,4106902,88,3471
2015,4106902,90,507
2015,4106902,91,485
2015,4106902,92,12
2015,4106902,93,5408
2015,4106902,94,18463
2015,4106902,95,1934
2015,4106902,96,2980
2015,4106902,97,74
2015,4106902,99,135
2016,4106902,01,743
2016,4106902,02,399
2016,4106902,03,2
2016,4106902,05,1
2016,4106902,07,9
2016,4106902,08,80
2016,4106902,09,27
2016,4106902,10,10328
2016,4106902,11,1078
2016,4106902,13,1043
2016,4106902,14,1551
2016,4106902,15,736
2016,4106902,16,1480
2016,4106902,17,2102
2016,4106902,18,2119
2016,4106902,19,91
2016,4106902,20,2578
2016,4106902,21,126
2016,4106902,22,3290
2016,4106902,23,1988
2016,4106902,24,1959
2016,4106902,25,5064
2016,4106902,26,3380
2016,4106902,27,6021
2016,4106902,28,6787
2016,4106902,29,10116
2016,4106902,30,52
2016,4106902,31,1825
2016,4106902,32,2313
2016,4106902,33,3374
2016,4106902,35,8642
2016,4106902,36,7315
2016,4106902,37,256
2016,4106902,38,3619
2016,4106902,39,97
2016,4106902,41,14362
2016,4106902,42,16766
2016,4106902,43,11607
2016,4106902,45,18421
2016,4106902,46,23853
