ano,mes,id_municipio,cnae_divisao,saldo_municipio,fonte
2007,12,1200401,43,-1,antigo
2007,12,1200401,45,0,antigo
2007,12,1200401,46,3,antigo
2007,12,1200401,47,34,antigo
2007,12,1200401,49,2,antigo
2007,12,1200401,56,6,antigo
2007,12,1200401,59,-1,antigo
2007,12,1200401,61,-1,antigo
2007,12,1200401,64,1,antigo
2007,12,1200401,69,1,antigo
2007,12,1200401,74,-1,antigo
2007,12,1200401,82,1,antigo
2007,12,1200401,85,1,antigo
2007,12,1200401,86,-3,antigo
2007,12,1200401,95,-1,antigo
2008,1,1200401,00,4,antigo
2008,1,1200401,01,76,antigo
2008,1,1200401,10,-15,antigo
2008,1,1200401,11,5,antigo
2008,1,1200401,13,3,antigo
2008,1,1200401,14,-4,antigo
2008,1,1200401,15,0,antigo
2008,1,1200401,16,-9,antigo
2008,1,1200401,17,-2,antigo
2008,1,1200401,18,2,antigo
2008,1,1200401,22,-1,antigo
2008,1,1200401,23,-5,antigo
2008,1,1200401,24,1,antigo
2008,1,1200401,25,2,antigo
2008,1,1200401,27,2,antigo
2008,1,1200401,28,-1,antigo
2008,1,1200401,31,2,antigo
2008,1,1200401,33,-1,antigo
2008,1,1200401,35,-1,antigo
2008,1,1200401,36,-1,antigo
2008,1,1200401,38,-2,antigo
2008,1,1200401,41,56,antigo
2008,1,1200401,42,-33,antigo
2008,1,1200401,43,144,antigo
2008,1,1200401,45,4,antigo
2008,1,1200401,46,7,antigo
2008,1,1200401,47,-165,antigo
2008,1,1200401,49,-22,antigo
2008,1,1200401,51,1,antigo
2008,1,1200401,52,-1,antigo
2008,1,1200401,53,-1,antigo
2008,1,1200401,55,6,antigo
2008,1,1200401,56,5,antigo
2008,1,1200401,58,-1,antigo
2008,1,1200401,59,-3,antigo
2008,1,1200401,60,-2,antigo
2008,1,1200401,61,-2,antigo
2008,1,1200401,63,1,antigo
2008,1,1200401,64,5,antigo
2008,1,1200401,65,-6,antigo
2008,1,1200401,66,0,antigo
2008,1,1200401,68,-1,antigo
2008,1,1200401,69,7,antigo
2008,1,1200401,71,0,antigo
2008,1,1200401,72,-154,antigo
2008,1,1200401,73,1,antigo
2008,1,1200401,74,2,antigo
2008,1,1200401,77,-19,antigo
2008,1,1200401,78,-66,antigo
2008,1,1200401,79,3,antigo
2008,1,1200401,80,9,antigo
2008,1,1200401,81,17,antigo
2008,1,1200401,82,6,antigo
2008,1,1200401,84,-14,antigo
2008,1,1200401,85,-16,antigo
2008,1,1200401,86,-1,antigo
2008,1,1200401,88,6,antigo
2008,1,1200401,93,4,antigo
2008,1,1200401,94,-379,antigo
2008,1,1200401,95,-3,antigo
2008,1,1200401,96,1,antigo
2008,1,1200401,97,-1,antigo
2008,2,1200401,00,3,antigo
2008,2,1200401,01,-41,antigo
2008,2,1200401,02,-1,antigo
2008,2,1200401,10,-6,antigo
2008,2,1200401,11,-2,antigo
2008,2,1200401,13,-5,antigo
2008,2,1200401,14,-7,antigo
2008,2,1200401,15,-1,antigo
2008,2,1200401,16,3,antigo
2008,2,1200401,18,0,antigo
2008,2,1200401,20,1,antigo
2008,2,1200401,23,-6,antigo
2008,2,1200401,25,-3,antigo
2008,2,1200401,26,-2,antigo
2008,2,1200401,27,-2,antigo
2008,2,1200401,31,2,antigo
2008,2,1200401,33,-1,antigo
2008,2,1200401,35,16,antigo
2008,2,1200401,36,1,antigo
2008,2,1200401,38,8,antigo
2008,2,1200401,41,29,antigo
2008,2,1200401,42,-167,antigo
2008,2,1200401,43,24,antigo
2008,2,1200401,45,8,antigo
2008,2,1200401,46,-25,antigo
2008,2,1200401,47,-61,antigo
2008,2,1200401,49,4,antigo
2008,2,1200401,51,-1,antigo
2008,2,1200401,52,-1,antigo
2008,2,1200401,53,1,antigo
2008,2,1200401,55,1,antigo
2008,2,1200401,56,-8,antigo
2008,2,1200401,58,-1,antigo
2008,2,1200401,59,1,antigo
2008,2,1200401,60,3,antigo
2008,2,1200401,61,-2,antigo
2008,2,1200401,62,1,antigo
2008,2,1200401,63,1,antigo
2008,2,1200401,64,1,antigo
2008,2,1200401,65,4,antigo
2008,2,1200401,68,0,antigo
2008,2,1200401,69,7,antigo
2008,2,1200401,71,3,antigo
2008,2,1200401,73,-1,antigo
2008,2,1200401,74,-1,antigo
2008,2,1200401,77,-2,antigo
2008,2,1200401,79,2,antigo
2008,2,1200401,80,48,antigo
2008,2,1200401,81,-1,antigo
2008,2,1200401,82,1,antigo
2008,2,1200401,84,277,antigo
2008,2,1200401,85,36,antigo
2008,2,1200401,86,10,antigo
2008,2,1200401,88,1,antigo
2008,2,1200401,93,-1,antigo
2008,2,1200401,94,-1,antigo
2008,2,1200401,95,6,antigo
2008,2,1200401,96,-5,antigo
2008,2,1200401,97,0,antigo
2008,3,1200401,00,8,antigo
2008,3,1200401,01,-10,antigo
2008,3,1200401,02,-1,antigo
2008,3,1200401,03,-2,antigo
2008,3,1200401,08,1,antigo
2008,3,1200401,10,-3,antigo
2008,3,1200401,11,-8,antigo
2008,3,1200401,14,-18,antigo
2008,3,1200401,15,6,antigo
2008,3,1200401,16,-25,antigo
2008,3,1200401,17,-1,antigo
2008,3,1200401,18,1,antigo
2008,3,1200401,20,0,antigo
2008,3,1200401,22,0,antigo
2008,3,1200401,23,18,antigo
2008,3,1200401,24,1,antigo
2008,3,1200401,25,-1,antigo
2008,3,1200401,26,-3,antigo
2008,3,1200401,27,0,antigo
2008,3,1200401,28,3,antigo
2008,3,1200401,29,-1,antigo
2008,3,1200401,31,2,antigo
2008,3,1200401,32,-2,antigo
2008,3,1200401,33,0,antigo
2008,3,1200401,35,-1,antigo
2008,3,1200401,36,-3,antigo
2008,3,1200401,38,-3,antigo
2008,3,1200401,41,16,antigo
2008,3,1200401,42,-74,antigo
2008,3,1200401,43,-50,antigo
2008,3,1200401,45,32,antigo
2008,3,1200401,46,23,antigo
2008,3,1200401,47,144,antigo
2008,3,1200401,49,7,antigo
2008,3,1200401,51,4,antigo
2008,3,1200401,52,-1,antigo
2008,3,1200401,55,5,antigo
2008,3,1200401,56,-7,antigo
2008,3,1200401,58,0,antigo
2008,3,1200401,59,2,antigo
2008,3,1200401,60,2,antigo
2008,3,1200401,61,-2,antigo
2008,3,1200401,63,-1,antigo
2008,3,1200401,64,1,antigo
2008,3,1200401,65,4,antigo
2008,3,1200401,66,2,antigo
2008,3,1200401,68,2,antigo
2008,3,1200401,69,1,antigo
2008,3,1200401,71,5,antigo
2008,3,1200401,73,-1,antigo
2008,3,1200401,74,-2,antigo
2008,3,1200401,77,6,antigo
2008,3,1200401,79,-2,antigo
2008,3,1200401,80,10,antigo
2008,3,1200401,81,10,antigo
2008,3,1200401,82,3,antigo
2008,3,1200401,84,26,antigo
2008,3,1200401,85,6,antigo
2008,3,1200401,86,-4,antigo
2008,3,1200401,88,-4,antigo
2008,3,1200401,93,-4,antigo
2008,3,1200401,94,-78,antigo
2008,3,1200401,95,-3,antigo
2008,3,1200401,96,4,antigo
2008,4,1200401,00,3,antigo
2008,4,1200401,01,6,antigo
2008,4,1200401,10,1,antigo
2008,4,1200401,11,-6,antigo
2008,4,1200401,14,4,antigo
2008,4,1200401,15,-1,antigo
2008,4,1200401,16,13,antigo
2008,4,1200401,17,4,antigo
2008,4,1200401,18,3,antigo
2008,4,1200401,22,3,antigo
2008,4,1200401,23,13,antigo
2008,4,1200401,24,-1,antigo
2008,4,1200401,25,2,antigo
2008,4,1200401,26,0,antigo
2008,4,1200401,27,-1,antigo
2008,4,1200401,28,1,antigo
2008,4,1200401,29,3,antigo
2008,4,1200401,31,3,antigo
2008,4,1200401,32,2,antigo
2008,4,1200401,33,-1,antigo
2008,4,1200401,35,0,antigo
2008,4,1200401,38,2,antigo
2008,4,1200401,41,89,antigo
2008,4,1200401,42,2,antigo
2008,4,1200401,43,42,antigo
2008,4,1200401,45,9,antigo
2008,4,1200401,46,-94,antigo
2008,4,1200401,47,-6,antigo
2008,4,1200401,49,28,antigo
2008,4,1200401,51,3,antigo
2008,4,1200401,52,6,antigo
2008,4,1200401,53,-2,antigo
2008,4,1200401,55,-5,antigo
2008,4,1200401,56,4,antigo
2008,4,1200401,58,1,antigo
2008,4,1200401,59,-2,antigo
2008,4,1200401,60,0,antigo
2008,4,1200401,61,7,antigo
2008,4,1200401,62,-1,antigo
2008,4,1200401,63,1,antigo
2008,4,1200401,64,0,antigo
2008,4,1200401,65,2,antigo
2008,4,1200401,68,1,antigo
2008,4,1200401,69,4,antigo
2008,4,1200401,70,-1,antigo
2008,4,1200401,71,0,antigo
2008,4,1200401,72,1,antigo
2008,4,1200401,73,1,antigo
2008,4,1200401,77,0,antigo
2008,4,1200401,78,7,antigo
2008,4,1200401,79,1,antigo
2008,4,1200401,80,13,antigo
2008,4,1200401,81,1,antigo
2008,4,1200401,82,-3,antigo
2008,4,1200401,84,-4,antigo
2008,4,1200401,85,4,antigo
2008,4,1200401,86,2,antigo
2008,4,1200401,88,3,antigo
2008,4,1200401,90,-1,antigo
2008,4,1200401,93,5,antigo
2008,4,1200401,94,6,antigo
2008,4,1200401,95,1,antigo
2008,4,1200401,96,-2,antigo
2008,4,1200401,97,-1,antigo
2008,5,1200401,00,9,antigo
2008,5,1200401,01,18,antigo
2008,5,1200401,02,18,antigo
2008,5,1200401,03,1,antigo
2008,5,1200401,08,-1,antigo
2008,5,1200401,10,-23,antigo
2008,5,1200401,11,1,antigo
2008,5,1200401,14,5,antigo
2008,5,1200401,15,0,antigo
2008,5,1200401,16,53,antigo
2008,5,1200401,18,-1,antigo
2008,5,1200401,20,3,antigo
2008,5,1200401,22,4,antigo
2008,5,1200401,23,16,antigo
2008,5,1200401,24,1,antigo
2008,5,1200401,25,-9,antigo
2008,5,1200401,27,1,antigo
2008,5,1200401,31,-1,antigo
2008,5,1200401,33,3,antigo
2008,5,1200401,35,2,antigo
2008,5,1200401,36,-1,antigo
2008,5,1200401,38,4,antigo
2008,5,1200401,41,102,antigo
2008,5,1200401,42,129,antigo
2008,5,1200401,43,20,antigo
2008,5,1200401,45,17,antigo
2008,5,1200401,46,75,antigo
2008,5,1200401,47,100,antigo
2008,5,1200401,49,4,antigo
2008,5,1200401,51,-1,antigo
2008,5,1200401,52,2,antigo
2008,5,1200401,53,9,antigo
2008,5,1200401,55,5,antigo
2008,5,1200401,56,-2,antigo
2008,5,1200401,58,3,antigo
2008,5,1200401,59,-2,antigo
2008,5,1200401,60,-1,antigo
2008,5,1200401,61,-1,antigo
2008,5,1200401,62,5,antigo
2008,5,1200401,63,-2,antigo
2008,5,1200401,64,0,antigo
2008,5,1200401,65,-1,antigo
2008,5,1200401,66,-1,antigo
2008,5,1200401,68,1,antigo
2008,5,1200401,69,3,antigo
2008,5,1200401,71,25,antigo
2008,5,1200401,72,1,antigo
2008,5,1200401,73,2,antigo
2008,5,1200401,74,-2,antigo
2008,5,1200401,77,50,antigo
2008,5,1200401,79,2,antigo
2008,5,1200401,80,17,antigo
2008,5,1200401,81,1,antigo
2008,5,1200401,82,31,antigo
2008,5,1200401,84,-14,antigo
2008,5,1200401,85,-2,antigo
2008,5,1200401,86,6,antigo
2008,5,1200401,88,20,antigo
2008,5,1200401,90,2,antigo
2008,5,1200401,93,2,antigo
2008,5,1200401,94,-1,antigo
2008,5,1200401,95,-1,antigo
2008,5,1200401,96,1,antigo
2008,5,1200401,97,1,antigo
2008,6,1200401,00,2,antigo
2008,6,1200401,01,18,antigo
2008,6,1200401,02,2,antigo
2008,6,1200401,08,1,antigo
2008,6,1200401,10,10,antigo
2008,6,1200401,11,10,antigo
2008,6,1200401,13,0,antigo
2008,6,1200401,14,-1,antigo
2008,6,1200401,15,8,antigo
2008,6,1200401,16,115,antigo
2008,6,1200401,17,-2,antigo
2008,6,1200401,20,3,antigo
2008,6,1200401,22,0,antigo
2008,6,1200401,23,1,antigo
2008,6,1200401,24,0,antigo
2008,6,1200401,25,7,antigo
2008,6,1200401,27,2,antigo
2008,6,1200401,31,-3,antigo
2008,6,1200401,32,1,antigo
2008,6,1200401,35,-2,antigo
2008,6,1200401,38,7,antigo
2008,6,1200401,41,36,antigo
2008,6,1200401,42,13,antigo
2008,6,1200401,43,97,antigo
2008,6,1200401,45,-16,antigo
2008,6,1200401,46,15,antigo
2008,6,1200401,47,17,antigo
2008,6,1200401,49,17,antigo
2008,6,1200401,51,-6,antigo
2008,6,1200401,52,-7,antigo
2008,6,1200401,53,-1,antigo
2008,6,1200401,55,0,antigo
2008,6,1200401,56,26,antigo
2008,6,1200401,58,3,antigo
2008,6,1200401,60,1,antigo
2008,6,1200401,61,3,antigo
2008,6,1200401,62,8,antigo
2008,6,1200401,63,-4,antigo
2008,6,1200401,64,1,antigo
2008,6,1200401,65,1,antigo
2008,6,1200401,66,-3,antigo
2008,6,1200401,68,0,antigo
2008,6,1200401,69,1,antigo
2008,6,1200401,71,25,antigo
2008,6,1200401,72,2,antigo
2008,6,1200401,73,0,antigo
2008,6,1200401,77,77,antigo
2008,6,1200401,79,0,antigo
2008,6,1200401,80,1,antigo
2008,6,1200401,81,2,antigo
2008,6,1200401,82,-3,antigo
2008,6,1200401,84,-10,antigo
2008,6,1200401,85,2,antigo
2008,6,1200401,86,0,antigo
2008,6,1200401,88,0,antigo
2008,6,1200401,93,0,antigo
2008,6,1200401,94,2,antigo
2008,6,1200401,95,5,antigo
2008,6,1200401,96,-1,antigo
2008,6,1200401,97,-1,antigo
2008,7,1200401,00,0,antigo
2008,7,1200401,01,21,antigo
2008,7,1200401,02,-8,antigo
2008,7,1200401,08,3,antigo
2008,7,1200401,10,-19,antigo
2008,7,1200401,11,1,antigo
2008,7,1200401,13,-2,antigo
2008,7,1200401,14,2,antigo
2008,7,1200401,15,-2,antigo
2008,7,1200401,16,76,antigo
2008,7,1200401,18,0,antigo
2008,7,1200401,22,-1,antigo
2008,7,1200401,23,-8,antigo
2008,7,1200401,24,0,antigo
2008,7,1200401,25,-1,antigo
2008,7,1200401,27,-1,antigo
2008,7,1200401,28,0,antigo
2008,7,1200401,31,0,antigo
2008,7,1200401,32,-4,antigo
2008,7,1200401,33,0,antigo
2008,7,1200401,35,-1,antigo
2008,7,1200401,36,-3,antigo
2008,7,1200401,38,3,antigo
2008,7,1200401,41,44,antigo
2008,7,1200401,42,5,antigo
2008,7,1200401,43,61,antigo
2008,7,1200401,45,4,antigo
2008,7,1200401,46,33,antigo
2008,7,1200401,47,39,antigo
2008,7,1200401,49,7,antigo
2008,7,1200401,51,0,antigo
2008,7,1200401,52,0,antigo
2008,7,1200401,53,-1,antigo
2008,7,1200401,55,6,antigo
2008,7,1200401,56,-3,antigo
2008,7,1200401,58,0,antigo
2008,7,1200401,59,-1,antigo
2008,7,1200401,61,0,antigo
2008,7,1200401,62,1,antigo
2008,7,1200401,63,-3,antigo
2008,7,1200401,64,3,antigo
2008,7,1200401,65,-2,antigo
2008,7,1200401,66,-1,antigo
2008,7,1200401,68,-2,antigo
2008,7,1200401,69,1,antigo
2008,7,1200401,71,12,antigo
2008,7,1200401,72,0,antigo
2008,7,1200401,73,-1,antigo
2008,7,1200401,74,-2,antigo
2008,7,1200401,75,-1,antigo
2008,7,1200401,77,1,antigo
2008,7,1200401,78,-2,antigo
2008,7,1200401,79,1,antigo
2008,7,1200401,80,22,antigo
2008,7,1200401,81,19,antigo
2008,7,1200401,82,-2,antigo
2008,7,1200401,84,-40,antigo
2008,7,1200401,85,-24,antigo
2008,7,1200401,86,7,antigo
2008,7,1200401,88,3,antigo
2008,7,1200401,93,-4,antigo
2008,7,1200401,94,9,antigo
2008,7,1200401,95,2,antigo
2008,7,1200401,96,-2,antigo
2008,7,1200401,97,2,antigo
2008,8,1200401,00,-1,antigo
2008,8,1200401,01,38,antigo
2008,8,1200401,02,-1,antigo
2008,8,1200401,08,3,antigo
2008,8,1200401,10,-2,antigo
2008,8,1200401,11,2,antigo
2008,8,1200401,12,-1,antigo
2008,8,1200401,13,16,antigo
2008,8,1200401,14,3,antigo
2008,8,1200401,15,-10,antigo
2008,8,1200401,16,16,antigo
2008,8,1200401,18,0,antigo
2008,8,1200401,20,-1,antigo
2008,8,1200401,21,-4,antigo
2008,8,1200401,22,0,antigo
2008,8,1200401,23,20,antigo
2008,8,1200401,24,-3,antigo
2008,8,1200401,25,-3,antigo
2008,8,1200401,27,-2,antigo
2008,8,1200401,29,-1,antigo
2008,8,1200401,31,10,antigo
2008,8,1200401,32,-2,antigo
2008,8,1200401,33,-1,antigo
2008,8,1200401,35,-2,antigo
2008,8,1200401,36,0,antigo
2008,8,1200401,38,-10,antigo
2008,8,1200401,41,-20,antigo
2008,8,1200401,42,-13,antigo
2008,8,1200401,43,57,antigo
2008,8,1200401,45,16,antigo
2008,8,1200401,46,30,antigo
2008,8,1200401,47,16,antigo
2008,8,1200401,49,15,antigo
2008,8,1200401,51,-1,antigo
2008,8,1200401,52,1,antigo
2008,8,1200401,55,-2,antigo
2008,8,1200401,56,-11,antigo
2008,8,1200401,58,2,antigo
